inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,5,299,49,353,2025-11-14
2,2,1,266,15,323,2026-03-07
3,2,4,445,28,468,2025-02-25
4,3,1,223,14,363,2025-06-20
5,4,4,242,11,419,2025-06-18
6,4,5,51,19,717,2024-09-06
7,4,1,22,33,694,2025-11-08
8,5,5,56,38,877,2024-11-14
9,5,4,136,13,264,2024-10-07
10,6,4,263,17,543,2025-11-06
11,7,3,172,48,612,2025-04-30
12,7,2,293,35,879,2024-12-06
13,8,5,26,44,994,2025-01-16
14,8,3,445,46,948,2025-07-29
15,9,5,64,37,500,2025-12-10
16,9,4,162,28,841,2025-11-06
17,10,1,113,17,662,2024-11-03
18,10,3,173,40,669,2024-05-05
19,11,3,48,24,772,2025-02-26
20,11,1,147,37,605,2025-11-08
21,12,1,435,13,857,2024-09-24
22,12,4,244,34,530,2024-12-31
23,13,5,158,18,353,2024-09-01
24,13,4,362,23,584,2024-02-01
25,14,5,122,41,849,2026-01-01
26,14,4,404,19,604,2024-02-29
27,15,2,120,41,491,2025-05-30
28,16,3,290,44,514,2024-11-14
29,16,5,443,42,959,2024-08-13
30,17,1,340,14,936,2025-01-29
31,17,2,82,48,932,2024-06-28
32,17,5,25,15,629,2024-04-19
33,18,1,16,25,564,2025-11-01
34,19,3,450,18,212,2025-02-05
35,20,5,359,20,217,2024-12-30
36,20,5,110,40,888,2024-02-25
37,21,1,394,35,822,2024-10-17
38,22,4,376,26,564,2025-08-18
39,23,5,27,24,725,2025-08-28
40,23,5,358,15,759,2024-10-15
41,24,3,374,48,801,2024-02-16
42,24,3,190,15,725,2024-08-26
43,25,3,471,47,262,2025-05-08
44,26,1,50,33,298,2025-06-02
45,26,5,370,48,550,2025-10-10
46,26,5,440,16,760,2025-06-30
47,27,5,409,13,667,2026-01-03
48,27,1,296,31,330,2025-02-04
49,28,5,28,41,854,2024-05-26
50,28,4,464,43,979,2025-03-14
51,29,4,217,25,712,2024-04-02
52,29,3,178,26,640,2025-09-26
53,30,3,297,50,277,2024-06-18
54,30,1,125,16,751,2024-06-29
55,31,3,245,10,975,2024-06-18
56,31,4,411,29,253,2026-01-14
57,32,5,219,11,894,2025-02-19
58,32,4,15,33,852,2025-05-08
59,33,4,165,25,697,2024-06-20
60,33,2,454,11,925,2024-11-19
61,33,3,199,17,566,2025-02-11
62,34,2,399,30,601,2025-04-17
63,34,1,143,41,206,2024-09-17
64,35,3,199,33,463,2025-11-05
65,35,2,447,46,353,2024-11-16
66,35,2,128,48,306,2024-08-19
67,36,2,176,30,362,2024-07-22
68,37,3,110,15,805,2025-09-16
69,37,5,434,15,203,2024-08-10
70,37,5,49,10,550,2025-04-27
71,38,1,85,16,533,2024-04-12
72,38,4,46,43,898,2025-08-12
73,39,4,107,20,254,2024-09-01
74,40,1,168,37,521,2024-07-31
75,40,5,203,22,351,2025-07-07
76,41,3,285,33,245,2025-10-18
77,42,1,248,35,538,2025-08-24
78,42,2,95,29,552,2025-06-15
79,43,5,395,25,485,2024-01-12
80,43,2,137,25,992,2024-04-27
81,43,1,60,10,561,2024-11-20
82,44,3,499,22,483,2025-11-12
83,44,5,399,31,948,2024-09-23
84,44,3,427,41,257,2025-12-21
85,45,4,57,15,995,2024-09-21
86,45,1,481,23,882,2024-05-25
87,46,5,111,50,396,2026-03-11
88,46,3,500,26,886,2025-01-05
89,47,4,21,15,620,2024-07-30
90,47,1,134,16,370,2025-10-09
91,48,3,445,41,896,2025-08-14
92,48,4,320,32,545,2025-04-12
93,48,5,162,50,946,2025-02-27
94,49,3,482,46,923,2024-07-13
95,50,3,314,33,263,2026-01-13
96,50,2,211,20,562,2024-07-19
97,51,5,393,19,973,2024-07-22
98,51,4,57,27,273,2025-02-13
99,51,2,19,22,740,2024-02-27
100,52,2,495,42,317,2024-06-28
101,52,1,157,25,822,2025-02-16
102,53,5,265,50,942,2024-05-04
103,53,2,132,42,975,2024-07-04
104,53,1,314,29,795,2024-12-12
105,54,5,285,40,795,2025-12-05
106,55,4,255,37,733,2024-01-03
107,56,2,447,46,324,2024-07-23
108,57,3,124,39,926,2024-10-15
109,58,3,133,28,287,2026-01-07
110,58,4,271,35,498,2024-11-04
111,59,5,250,39,757,2024-10-14
112,59,3,170,30,387,2024-10-17
113,60,5,32,42,816,2024-11-20
114,61,1,443,29,504,2024-04-03
115,62,2,484,41,854,2025-04-01
116,62,5,56,10,207,2024-01-11
117,62,5,328,21,450,2025-01-10
118,63,5,338,17,992,2024-07-19
119,64,4,500,43,562,2024-06-25
120,64,5,211,40,560,2026-01-14
121,65,1,414,28,641,2026-01-07
122,65,1,215,50,247,2025-06-01
123,65,4,256,23,778,2025-10-17
124,66,3,158,13,679,2024-03-18
125,66,4,498,19,642,2025-05-21
126,66,4,409,39,827,2024-03-13
127,67,3,311,15,945,2024-08-16
128,67,1,431,42,910,2024-10-20
129,68,2,25,41,832,2025-09-16
130,68,5,34,13,569,2024-11-02
131,69,2,333,36,318,2024-09-17
