order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,81,4,499.89,1999.56
2,1,20,4,181.13,724.52
3,2,88,4,275.64,1102.56
4,2,74,5,325.4,1627
5,2,16,1,465.73,465.73
6,3,60,3,358.88,1076.64
7,3,72,5,152.08,760.4
8,3,60,1,358.88,358.88
9,3,27,2,345.01,690.02
10,4,45,4,444.26,1777.04
11,5,84,4,397.33,1589.32
12,5,68,1,100.19,100.19
13,5,42,4,10.28,41.12
14,6,21,3,488.47,1465.41
15,6,44,1,71.57,71.57
16,6,72,2,152.08,304.16
17,7,22,2,202.6,405.2
18,8,95,5,442.92,2214.6
19,8,33,2,329.42,658.84
20,8,22,3,202.6,607.8
21,8,32,2,260.99,521.98
22,9,55,5,205.95,1029.75
23,9,77,1,112.25,112.25
24,9,65,3,72.5,217.5
25,9,22,1,202.6,202.6
26,10,56,2,180.06,360.12
27,10,1,5,483.17,2415.85
28,11,56,1,180.06,180.06
29,11,68,4,100.19,400.76
30,11,87,3,476.96,1430.88
31,12,96,1,130.71,130.71
32,12,38,5,11.87,59.35
33,12,81,4,499.89,1999.56
34,12,72,3,152.08,456.24
35,12,16,5,465.73,2328.65
36,13,34,4,59.14,236.56
37,13,96,2,130.71,261.42
38,13,26,2,313.45,626.9
39,14,46,3,446.64,1339.92
40,14,29,3,122.88,368.64
41,14,44,3,71.57,214.71
42,14,13,2,234.45,468.9
43,15,89,3,63.06,189.18
44,15,62,4,144.69,578.76
45,16,10,4,402.34,1609.36
46,16,90,2,157.77,315.54
47,16,72,2,152.08,304.16
48,17,76,3,273.1,819.3
49,17,22,4,202.6,810.4
50,17,42,4,10.28,41.12
51,18,45,2,444.26,888.52
52,18,66,4,384.26,1537.04
53,18,91,4,196.31,785.24
54,18,15,4,371.75,1487
55,19,90,1,157.77,157.77
56,19,17,1,480.38,480.38
57,20,16,4,465.73,1862.92
58,20,20,4,181.13,724.52
59,21,14,3,472.64,1417.92
60,21,75,3,33.9,101.7
61,21,98,4,140.33,561.32
62,21,68,3,100.19,300.57
63,21,24,4,217.84,871.36
64,22,78,4,279.16,1116.64
65,22,69,3,414.94,1244.82
66,22,1,5,483.17,2415.85
67,22,53,2,120.42,240.84
68,22,53,2,120.42,240.84
69,23,42,1,10.28,10.28
70,23,6,4,121.04,484.16
71,23,56,2,180.06,360.12
72,24,41,1,314.73,314.73
73,24,88,4,275.64,1102.56
74,24,43,5,250.15,1250.75
75,24,99,3,107.85,323.55
76,25,29,2,122.88,245.76
77,25,58,2,433.93,867.86
78,25,91,4,196.31,785.24
79,25,93,5,266.65,1333.25
80,25,86,2,450.1,900.2
81,26,3,1,321.8,321.8
82,26,42,2,10.28,20.56
83,27,42,3,10.28,30.84
84,27,61,2,135.79,271.58
85,28,55,5,205.95,1029.75
86,28,28,2,87.71,175.42
87,28,98,5,140.33,701.65
88,28,53,3,120.42,361.26
89,28,41,4,314.73,1258.92
90,29,23,3,272.6,817.8
91,29,42,1,10.28,10.28
92,29,49,4,388.97,1555.88
93,30,36,3,74.4,223.2
94,30,18,1,423.15,423.15
95,30,60,4,358.88,1435.52
96,31,11,1,147.32,147.32
97,32,95,2,442.92,885.84
98,32,90,2,157.77,315.54
99,33,37,4,463.79,1855.16
100,34,4,3,117.56,352.68
101,35,85,3,448.65,1345.95
102,35,21,5,488.47,2442.35
103,35,26,2,313.45,626.9
104,35,54,1,375.27,375.27
105,35,91,5,196.31,981.55
106,36,46,5,446.64,2233.2
107,36,75,2,33.9,67.8
108,36,84,1,397.33,397.33
109,36,91,3,196.31,588.93
110,37,3,3,321.8,965.4
111,37,41,4,314.73,1258.92
112,37,29,1,122.88,122.88
113,37,53,5,120.42,602.1
114,38,27,5,345.01,1725.05
115,38,45,4,444.26,1777.04
116,38,19,2,280.77,561.54
117,38,65,5,72.5,362.5
118,38,49,5,388.97,1944.85
119,39,89,2,63.06,126.12
120,39,35,1,18.87,18.87
121,39,42,2,10.28,20.56
122,40,35,4,18.87,75.48
123,40,75,1,33.9,33.9
124,40,51,4,101.56,406.24
125,40,93,1,266.65,266.65
126,40,77,2,112.25,224.5
127,41,99,1,107.85,107.85
128,41,21,3,488.47,1465.41
129,41,1,5,483.17,2415.85
130,42,65,2,72.5,145
131,42,70,5,303.87,1519.35
132,42,81,3,499.89,1499.67
133,43,30,1,70.69,70.69
134,43,6,3,121.04,363.12
135,44,32,3,260.99,782.97
136,44,54,1,375.27,375.27
137,44,97,5,425.33,2126.65
138,44,70,4,303.87,1215.48
139,45,45,3,444.26,1332.78
140,45,37,4,463.79,1855.16
141,45,84,2,397.33,794.66
142,45,59,3,330.91,992.73
