product_id,unidades_vendidas
32,542
67,542
87,535
46,519
88,515
83,500
77,498
53,497
82,496
21,494
38,492
8,491
69,490
60,489
13,489
94,486
70,483
44,481
3,480
34,476
100,476
65,475
11,475
28,471
55,471
17,470
74,469
10,468
42,468
7,465
18,464
2,464
62,462
68,461
45,459
24,458
51,458
43,457
40,457
5,456
39,453
22,451
86,451
49,450
95,449
61,448
89,448
31,448
1,447
52,447
6,445
37,444
20,444
73,441
16,441
78,440
66,438
19,437
81,434
23,434
36,433
15,432
90,431
99,431
59,430
57,430
4,429
33,427
71,427
41,426
98,426
92,423
64,421
80,421
12,418
27,418
63,417
54,417
58,415
72,414
50,414
29,413
75,411
26,409
96,409
47,407
35,401
14,400
25,397
9,396
93,396
56,396
84,394
97,391
85,387
30,377
79,365
76,360
91,360
48,357
