month,ventas_totales,ordenes
2023-01,1135613.98,99
2023-02,1164499.24,123
2023-03,1206414.69,138
2023-04,1378371.3,127
2023-05,1178055.3699999999,125
2023-06,1245850.89,121
2023-07,970205.37,113
2023-08,1260061.36,140
2023-09,1032243.9299999999,108
2023-10,1397704.28,146
2023-11,1333118.41,131
2023-12,1394288.28,142
2024-01,1435915.37,137
2024-02,1356929.33,141
2024-03,1326189.57,128
2024-04,1061170.47,112
2024-05,1335738.7,123
2024-06,1014397.98,125
2024-07,1201586.5,138
2024-08,1368021.41,141
2024-09,1136861.65,132
2024-10,1398624.44,136
2024-11,1205414.58,142
2024-12,955244.81,118
2025-01,1052991.25,114
2025-02,1141037.62,113
2025-03,1135887.9,140
2025-04,1253445.27,124
2025-05,1443984.3800000001,143
2025-06,1241185.8800000001,126
2025-07,1327484.31,142
2025-08,1332643.29,130
2025-09,1448303.39,146
2025-10,1100244.57,133
2025-11,1371242.45,133
2025-12,1342295.52,143
2026-01,1268041.86,130
2026-02,1091992.1,139
2026-03,522345.93,58
