month,total_amount
2023-01,301021.43
2023-02,336613.42
2023-03,350892.22000000003
2023-04,366699.2
2023-05,329467.51
2023-06,340623.62
2023-07,280844.97
2023-08,360010.3
2023-09,280895.69
2023-10,394853.76
2023-11,374113.31
2023-12,382795.99
2024-01,395267.6
2024-02,387723.07
2024-03,369171.06
2024-04,294970.46
2024-05,358641.02
2024-06,300158.19
2024-07,337228.31
2024-08,374558.42
2024-09,325884.97
2024-10,375788.06
2024-11,348900.49
2024-12,281981.34
2025-01,299838.97000000003
2025-02,310874.05
2025-03,329150.58
2025-04,338487.17
2025-05,398512.91
2025-06,341977.09
2025-07,370509.62
2025-08,360387.58
2025-09,399739.97
2025-10,337575.25
2025-11,372159.25
2025-12,375547.86
2026-01,342215.84
2026-02,325977.76
2026-03,159182.5
